state,city,population_2024
Illinois,Mount Auburn Village,440.0
Illinois,Mount Carmel City,6771.0
Illinois,Mount Carroll City,1433.0
Illinois,Mount Clare Village,306.0
Illinois,Mount Erie Village,95.0
Illinois,Mount Morris Village,2792.0
Illinois,Mount Olive City,1941.0
Illinois,Mount Prospect Village,55460.0
Illinois,Mount Pulaski City,1506.0
Illinois,Mount Sterling City,2031.0
Illinois,Mount Vernon City,14162.0
Illinois,Mount Zion Village,5897.0
Illinois,Moweaqua Village,1724.0
Illinois,Muddy Village,57.0
Illinois,Mulberry Grove Village,499.0
Illinois,Muncie Village,148.0
Illinois,Mundelein Village,32641.0
Illinois,Murphysboro City,7044.0
Illinois,Murrayville Village,546.0
Illinois,Naperville City,153124.0
Illinois,Naplate Village,414.0
Illinois,Naples Town,97.0
Illinois,Nashville City,3006.0
Illinois,Nason City,196.0
Illinois,Nauvoo City,910.0
Illinois,Nebo Village,272.0
Illinois,Nelson Village,125.0
Illinois,Neoga City,1383.0
Illinois,Neponset Village,408.0
Illinois,Newark Village,980.0
Illinois,New Athens Village,1870.0
Illinois,New Baden Village,3395.0
Illinois,New Bedford Village,75.0
Illinois,New Berlin Village,1359.0
Illinois,New Boston City,605.0
Illinois,New Burnside Village,152.0
Illinois,New Canton Town,324.0
Illinois,New Douglas Village,339.0
Illinois,New Grand Chain Village,146.0
Illinois,New Haven Village,379.0
